Examens,Sujet,Nom,Prénom,Matiere,Lycée,Surveillant,Date
66,Examen 2eme Trimestre;2,Carroll,Austin,Anglais;4,Loquidy;1,Thibaut Boulay;6,1985-01-20 09:08:59
67,Examen 2eme Trimestre;2,Brown,Charles,Anglais;4,Chavagne;2,Corinne du Gaillard;1,2019-09-21 19:17:48
68,Examen 2eme Trimestre;2,Perry,Kristina,Math;1,La Perverie;4,Augustin Gauthier-Allard;9,1983-06-20 00:37:16
69,Examen 2eme Trimestre;2,Ward,Marvin,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Thibaut Boulay;6,1992-09-01 20:43:07
70,Examen 2eme Trimestre;2,Allen,Eric,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Juliette Renault;13,1981-12-09 04:46:45
71,Examen 2eme Trimestre;2,Kelly,Lance,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Théophile-Michel Renault;12,2000-05-25 09:56:00
72,Examen 2eme Trimestre;2,Young,Ryan,Anglais;4,La Perverie;4,Pauline Boulay	;3,1995-09-24 22:20:33
73,Examen 2eme Trimestre;2,Merritt,Benjamin,Math;1,La Perverie;4,Corinne du Gaillard;1,2023-05-06 03:34:26
74,Examen 2eme Trimestre;2,Serrano,Amanda,Allemand;3,Chavagne;2,Théophile-Michel Renault;12,1978-07-18 13:12:29
75,Examen Ier Trimestre;1,Diaz,Ashley,Hist-Géo;2,Notre Dame de toutes Aides;3,Augustin Gauthier-Allard;9,2015-12-08 11:25:52
76,Examen 2eme Trimestre;2,Dennis,Christopher,Math;1,Loquidy;1,Eleonore Leroy Le Giraud;14,2005-02-24 11:47:06
77,Examen Ier Trimestre;1,Stanley,Adam,Anglais;4,La Perverie;4,Eleonore Leroy Le Giraud;14,1993-03-25 07:15:28
78,Examen Ier Trimestre;1,Ayala,Teresa,Hist-Géo;2,La Perverie;4,Marcel Didier;10,1983-07-14 19:12:45
79,Examen 2eme Trimestre;2,Wu,Sabrina,Hist-Géo;2,Notre Dame de toutes Aides;3,Eleonore Leroy Le Giraud;14,1970-04-15 03:15:06
80,Examen Ier Trimestre;1,Webb,Ronald,Anglais;4,Loquidy;1,Juliette Renault;13,1986-05-26 08:24:20
81,Examen 2eme Trimestre;2,King,Rhonda,Allemand;3,Notre Dame de toutes Aides;3,Pauline Boulay	;3,2014-01-06 15:21:32
82,Examen 3eme Trimestre;3,Moyer,Samuel,Francais;5,Chavagne;2,Corinne du Gaillard;1,2016-10-08 01:23:13
83,Examen 2eme Trimestre;2,Davis,Jennifer,Allemand;3,Chavagne;2,Juliette Renault;13,2015-03-15 18:11:38
84,Examen 2eme Trimestre;2,Arroyo,Jessica,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marguerite Michel;8,2013-11-18 11:28:03
85,Examen Ier Trimestre;1,Morris,Allen,Allemand;3,Notre Dame de toutes Aides;3,Augustin Gauthier-Allard;9,1970-03-11 13:04:31
86,Examen 2eme Trimestre;2,Mathews,Aaron,Francais;5,Loquidy;1,Sophie Parent;11,1980-02-10 06:43:38
87,Examen 2eme Trimestre;2,Mills,Ryan,Francais;5,Chavagne;2,Augustin Gauthier-Allard;9,2003-04-05 12:25:47
88,Examen 3eme Trimestre;3,Stark,David,Hist-Géo;2,La Perverie;4,Eleonore Leroy Le Giraud;14,1998-02-06 23:08:35
89,Examen 2eme Trimestre;2,Morrison,Kellie,Anglais;4,Chavagne;2,Pauline Boulay	;3,1976-07-09 03:38:14
90,Examen Ier Trimestre;1,Jones,Sarah,Math;1,La Perverie;4,Sophie Parent;11,2025-02-04 00:19:51
91,Examen 2eme Trimestre;2,Stanley,Mary,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Emmanuel Fernandes-Lopez	;	2	,2022-07-24 12:06:29
92,Examen 2eme Trimestre;2,Liu,Matthew,Allemand;3,Chavagne;2,Augustin Gauthier-Allard;9,1984-08-28 22:47:57
93,Examen 3eme Trimestre;3,Glenn,Marcus,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Daniel Bertin-Martin;5,2023-09-28 04:19:22
94,Examen Ier Trimestre;1,Mata,Stephen,Francais;5,Notre Dame de toutes Aides;3,Jacqueline de Bruneau;7,2003-07-22 17:32:48
95,Examen 3eme Trimestre;3,Williams,Lisa,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Sophie Parent;11,2012-06-26 10:04:28
96,Examen 2eme Trimestre;2,Benson,Kelly,Anglais;4,La Perverie;4,Thibaut Boulay;6,2007-07-16 06:35:21
97,Examen 2eme Trimestre;2,Davis,Susan,Hist-Géo;2,Loquidy;1,Sophie Parent;11,2013-06-06 10:04:27
98,Examen 2eme Trimestre;2,Carter,Gary,Francais;5,Notre Dame de toutes Aides;3,Jacqueline de Bruneau;7,2013-03-15 23:18:18
99,Examen 2eme Trimestre;2,Lambert,James,Allemand;3,Notre Dame de toutes Aides;3,Daniel Bertin-Martin;5,2006-09-03 18:50:45
100,Examen Ier Trimestre;1,Murray,Catherine,Anglais;4,Loquidy;1,Pauline Boulay	;3,2001-12-21 13:36:04
101,Examen Ier Trimestre;1,Greene,Amy,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Juliette Renault;13,1982-10-06 21:58:13
102,Examen Ier Trimestre;1,Williams,Kristen,Hist-Géo;2,Notre Dame de toutes Aides;3,Marguerite Michel;8,1979-12-04 20:06:26
103,Examen 2eme Trimestre;2,Alvarez,Ashley,Hist-Géo;2,Loquidy;1,Marcel Didier;10,1981-05-25 16:57:02
104,Examen 2eme Trimestre;2,Oliver,Stephen,Math;1,Notre Dame de toutes Aides;3,Thibaut Boulay;6,1987-08-08 03:59:25
105,Examen Ier Trimestre;1,Hernandez,Nicole,Allemand;3,La Perverie;4,Théophile-Michel Renault;12,1996-06-28 13:34:59
106,Examen 3eme Trimestre;3,Gardner,Ellen,Hist-Géo;2,Notre Dame de toutes Aides;3,Raymond-Philippe Bernard;4,1972-09-07 23:31:43
107,Examen 2eme Trimestre;2,Elliott,Sandra,Math;1,Loquidy;1,Sophie Parent;11,1994-05-19 00:24:32
108,Examen 3eme Trimestre;3,Clay,Crystal,Math;1,Chavagne;2,Emmanuel Fernandes-Lopez	;	2	,2022-01-08 12:04:58
109,Examen Ier Trimestre;1,Goodman,Christopher,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Raymond-Philippe Bernard;4,2010-05-24 22:51:40
110,Examen 2eme Trimestre;2,Hill,Veronica,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Daniel Bertin-Martin;5,2000-01-13 13:48:59
111,Examen 2eme Trimestre;2,Williamson,Joe,Francais;5,La Perverie;4,Juliette Renault;13,2014-05-29 22:28:34
112,Examen 3eme Trimestre;3,Duncan,Amanda,Francais;5,Notre Dame de toutes Aides;3,Sophie Parent;11,1982-06-02 05:33:07
113,Examen Ier Trimestre;1,Trujillo,Evan,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marguerite Michel;8,2013-05-01 10:03:20
114,Examen Ier Trimestre;1,Mills,Lisa,Hist-Géo;2,La Perverie;4,Raymond-Philippe Bernard;4,2009-11-20 09:39:59
115,Examen 3eme Trimestre;3,Edwards,Jason,Allemand;3,Chavagne;2,Juliette Renault;13,1970-05-18 11:40:29
116,Examen 2eme Trimestre;2,Nelson,Elizabeth,Hist-Géo;2,Loquidy;1,Marguerite Michel;8,1980-10-09 23:13:49
117,Examen 3eme Trimestre;3,Bauer,Paul,Francais;5,Loquidy;1,Eleonore Leroy Le Giraud;14,2009-05-09 06:50:38
118,Examen Ier Trimestre;1,Roberson,Cynthia,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Daniel Bertin-Martin;5,2000-08-12 21:25:55
119,Examen 2eme Trimestre;2,Young,Carla,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Sophie Parent;11,2015-12-12 09:19:59
120,Examen 2eme Trimestre;2,Doyle,Kathryn,Hist-Géo;2,La Perverie;4,Jacqueline de Bruneau;7,2024-07-17 17:06:18
121,Examen 2eme Trimestre;2,Clark,Michael,Hist-Géo;2,Notre Dame de toutes Aides;3,Augustin Gauthier-Allard;9,2019-04-10 17:27:26
122,Examen 2eme Trimestre;2,Hernandez,Amy,Hist-Géo;2,La Perverie;4,Marcel Didier;10,1980-09-06 12:23:42
123,Examen Ier Trimestre;1,Reyes,Jennifer,Anglais;4,Loquidy;1,Daniel Bertin-Martin;5,1997-05-26 22:34:03
124,Examen 2eme Trimestre;2,Medina,Melissa,Hist-Géo;2,Chavagne;2,Eleonore Leroy Le Giraud;14,1983-07-17 01:45:02
125,Examen 3eme Trimestre;3,Anderson,Stephanie,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Théophile-Michel Renault;12,1980-07-12 13:35:51
126,Examen 2eme Trimestre;2,Donovan,Mary,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Emmanuel Fernandes-Lopez	;	2	,1994-03-07 07:43:27
127,Examen 2eme Trimestre;2,Nichols,Tammy,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Pauline Boulay	;3,2015-12-24 09:44:32
128,Examen Ier Trimestre;1,Carlson,Bobby,Allemand;3,Chavagne;2,Thibaut Boulay;6,2001-08-09 18:30:28
129,Examen 3eme Trimestre;3,Kelley,Crystal,Francais;5,Notre Dame de toutes Aides;3,Marcel Didier;10,1996-04-02 19:10:18
130,Examen Ier Trimestre;1,Glover,Adam,Francais;5,La Perverie;4,Thibaut Boulay;6,2016-05-07 02:16:24
131,Examen Ier Trimestre;1,Larson,Daniel,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Thibaut Boulay;6,1987-06-14 08:35:10
132,Examen Ier Trimestre;1,Holmes,Denise,Hist-Géo;2,Notre Dame de toutes Aides;3,Augustin Gauthier-Allard;9,2016-09-10 06:11:12
133,Examen 3eme Trimestre;3,Montoya,Sean,Allemand;3,Loquidy;1,Marcel Didier;10,2018-08-06 01:17:57
134,Examen 3eme Trimestre;3,Welch,Caleb,Anglais;4,La Perverie;4,Augustin Gauthier-Allard;9,1972-11-13 01:45:43
135,Examen 2eme Trimestre;2,Matthews,Scott,Hist-Géo;2,Loquidy;1,Thibaut Boulay;6,1995-02-23 19:16:43
136,Examen Ier Trimestre;1,Adams,Geoffrey,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Juliette Renault;13,2013-05-21 16:00:37
137,Examen 3eme Trimestre;3,Walsh,Colleen,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Corinne du Gaillard;1,1987-04-15 09:10:21
138,Examen 3eme Trimestre;3,Olsen,James,Francais;5,Notre Dame de toutes Aides;3,Raymond-Philippe Bernard;4,2012-01-22 20:40:16
139,Examen 2eme Trimestre;2,Clark,Raven,Francais;5,Chavagne;2,Emmanuel Fernandes-Lopez	;	2	,1986-07-02 16:07:17
140,Examen 3eme Trimestre;3,Ryan,Melissa,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Jacqueline de Bruneau;7,2024-08-11 11:04:38
141,Examen 2eme Trimestre;2,Glass,Kathryn,Math;1,Notre Dame de toutes Aides;3,Pauline Boulay	;3,1980-09-28 07:36:28
142,Examen 2eme Trimestre;2,Singleton,Mark,Francais;5,La Perverie;4,Juliette Renault;13,2024-12-19 07:32:44
143,Examen Ier Trimestre;1,Robinson,Bailey,Allemand;3,Loquidy;1,Thibaut Boulay;6,1979-09-13 14:04:15
144,Examen 2eme Trimestre;2,Leonard,Angel,Francais;5,Chavagne;2,Thibaut Boulay;6,1995-04-07 21:46:15
145,Examen 3eme Trimestre;3,Bowman,Amber,Allemand;3,La Perverie;4,Jacqueline de Bruneau;7,1986-11-06 13:58:15
146,Examen 2eme Trimestre;2,Harrison,Karen,Math;1,Loquidy;1,Raymond-Philippe Bernard;4,1973-06-18 10:09:54
147,Examen 3eme Trimestre;3,Hamilton,Brittany,Anglais;4,Loquidy;1,Eleonore Leroy Le Giraud;14,1998-07-23 16:38:53
148,Examen Ier Trimestre;1,Marks,Rebecca,Anglais;4,La Perverie;4,Jacqueline de Bruneau;7,2011-11-09 23:54:09
149,Examen 2eme Trimestre;2,Snow,Laura,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Marcel Didier;10,2023-10-28 11:48:29
150,Examen Ier Trimestre;1,Lamb,Megan,Allemand;3,La Perverie;4,Marguerite Michel;8,2019-04-25 22:41:14
151,Examen 2eme Trimestre;2,Maldonado,Rita,Allemand;3,La Perverie;4,Raymond-Philippe Bernard;4,1981-07-02 12:48:26
152,Examen 2eme Trimestre;2,Anderson,Jennifer,Anglais;4,Chavagne;2,Jacqueline de Bruneau;7,1994-08-23 05:00:55
153,Examen Ier Trimestre;1,Hurley,Michelle,Math;1,La Perverie;4,Pauline Boulay	;3,2022-09-27 01:40:48
154,Examen 3eme Trimestre;3,Blair,Thomas,Math;1,La Perverie;4,Raymond-Philippe Bernard;4,2022-12-20 11:41:40
155,Examen Ier Trimestre;1,Davis,Maria,Math;1,Chavagne;2,Raymond-Philippe Bernard;4,1984-12-26 20:27:26
156,Examen 2eme Trimestre;2,Wallace,Matthew,Math;1,Loquidy;1,Emmanuel Fernandes-Lopez	;	2	,1991-08-14 01:50:13
157,Examen 3eme Trimestre;3,Davis,Margaret,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Eleonore Leroy Le Giraud;14,2002-01-15 12:15:46
158,Examen Ier Trimestre;1,Keller,Sarah,Allemand;3,Loquidy;1,Marguerite Michel;8,2011-12-07 03:38:55
159,Examen 2eme Trimestre;2,Miller,Kelly,Francais;5,Loquidy;1,Daniel Bertin-Martin;5,2004-09-30 21:17:18
160,Examen 3eme Trimestre;3,Ray,Sean,Hist-Géo;2,La Perverie;4,Daniel Bertin-Martin;5,2016-03-08 02:34:56
161,Examen 2eme Trimestre;2,Rodriguez,Leon,Allemand;3,Chavagne;2,Eleonore Leroy Le Giraud;14,2023-12-05 10:37:39
162,Examen Ier Trimestre;1,Larson,Thomas,Allemand;3,Loquidy;1,Pauline Boulay	;3,1982-06-28 17:23:41
163,Examen 2eme Trimestre;2,Blackwell,David,Hist-Géo;2,La Perverie;4,Jacqueline de Bruneau;7,1994-03-29 21:47:16
164,Examen 3eme Trimestre;3,Baker,Ann,Math;1,Loquidy;1,Raymond-Philippe Bernard;4,1973-03-03 21:20:31
165,Examen 2eme Trimestre;2,Ellis,Joyce,Math;1,Notre Dame de toutes Aides;3,Jacqueline de Bruneau;7,2012-05-16 21:11:15
166,Examen 2eme Trimestre;2,Jones,Karen,Hist-Géo;2,Loquidy;1,Augustin Gauthier-Allard;9,2023-06-16 16:55:19
167,Examen Ier Trimestre;1,Bryan,Maria,Allemand;3,Chavagne;2,Augustin Gauthier-Allard;9,2019-12-27 04:26:57
168,Examen Ier Trimestre;1,Alvarado,Jose,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Daniel Bertin-Martin;5,1991-11-18 14:04:34
169,Examen 2eme Trimestre;2,Myers,Joanna,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Augustin Gauthier-Allard;9,1990-10-19 12:08:15
170,Examen Ier Trimestre;1,Ramsey,Daniel,Hist-Géo;2,La Perverie;4,Marguerite Michel;8,1987-03-18 16:38:52
171,Examen 2eme Trimestre;2,Stokes,Donna,Math;1,Loquidy;1,Corinne du Gaillard;1,2023-03-24 01:16:04
172,Examen 2eme Trimestre;2,Woods,Scott,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Sophie Parent;11,1980-12-09 16:08:54
173,Examen Ier Trimestre;1,Estrada,Cynthia,Math;1,Chavagne;2,Marcel Didier;10,1987-06-17 01:24:01
174,Examen Ier Trimestre;1,Graves,Barbara,Math;1,La Perverie;4,Emmanuel Fernandes-Lopez	;	2	,1983-07-18 09:01:02
175,Examen 3eme Trimestre;3,Nelson,Nicole,Hist-Géo;2,La Perverie;4,Thibaut Boulay;6,1999-12-16 16:50:21
176,Examen 3eme Trimestre;3,Warner,Julie,Francais;5,La Perverie;4,Eleonore Leroy Le Giraud;14,1998-10-13 11:04:13
177,Examen Ier Trimestre;1,Martinez,Scott,Math;1,Notre Dame de toutes Aides;3,Théophile-Michel Renault;12,2004-08-30 21:20:16
178,Examen Ier Trimestre;1,Donaldson,Rachel,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Augustin Gauthier-Allard;9,2004-11-08 07:31:00
179,Examen 2eme Trimestre;2,Evans,Leslie,Hist-Géo;2,Lycée Clemenceau;5Lycée Saint Stanislas;6,Pauline Boulay	;3,2008-05-06 11:26:42
180,Examen 2eme Trimestre;2,Graham,Amy,Allemand;3,Loquidy;1,Corinne du Gaillard;1,1984-10-09 21:16:56
181,Examen 2eme Trimestre;2,Mccoy,Kaitlyn,Math;1,Lycée Clemenceau;5Lycée Saint Stanislas;6,Eleonore Leroy Le Giraud;14,1998-03-05 01:08:24
182,Examen 2eme Trimestre;2,Clark,Katherine,Anglais;4,Lycée Clemenceau;5Lycée Saint Stanislas;6,Augustin Gauthier-Allard;9,1998-04-12 05:02:13
183,Examen 2eme Trimestre;2,Smith,Michele,Allemand;3,Lycée Clemenceau;5Lycée Saint Stanislas;6,Emmanuel Fernandes-Lopez	;	2	,1971-10-04 21:47:41
184,Examen 3eme Trimestre;3,White,Kyle,Francais;5,Lycée Clemenceau;5Lycée Saint Stanislas;6,Pauline Boulay	;3,1973-07-26 21:40:06
185,Examen 3eme Trimestre;3,Gomez,Eric,Hist-Géo;2,Loquidy;1,Marguerite Michel;8,1985-09-10 12:08:44
186,Examen Ier Trimestre;1,Steele,Benjamin,Hist-Géo;2,Chavagne;2,Jacqueline de Bruneau;7,2017-09-22 08:40:59
